ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
ITA,Italy,54.0,72.05,99.0,67.11143246582166,0.0,0.0,0.0,,,2.0,0.5,1.0,6.0,96.83333333333333,581.0,1.0,59146300.0,17.895524593600374
JAM,Jamaica,44.0,75.89,89.0,59.95359104736849,36000.0,18000.0,2.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2837080.0,14.85828591219496
JOR,Jordan,49.0,42.79,98.0,54.86691762449537,5860.0,976.6666666666666,6.0,0.0,0.0,0.0,,,7.0,398.2714285714286,2787.9,1.0,11520700.0,16.259655975274857
JPN,Japan,71.0,63.95,100.0,80.12198934556518,0.0,0.0,0.0,,,2.0,0.5,0.5,0.0,0.0,0.0,0.0,123103000.0,18.62853196128827
KAZ,Kazakhstan,40.0,45.87,100.0,34.64977023336932,1161577.92,24714.423829787233,47.0,0.3829787234042553,0.0,0.0,,,17.0,732.8941176470589,12459.2,9.0,20843800.0,16.852567099877895
KEN,Kenya,32.0,51.15,83.0,44.63146059811014,4860502.97,52263.47279569892,93.0,0.8387096774193549,0.043010752688172046,2.0,1.0,0.0,1.0,2000.0,2000.0,1.0,57532500.0,17.8678605634837
KGZ,Kyrgyzstan,25.0,49.91,100.0,,2185.41,728.4699999999999,3.0,0.0,0.0,0.0,,,13.0,161.60000000000002,2100.8,4.0,7295030.0,15.802703852336323
KHM,Cambodia,21.0,42.02,84.0,33.94179374764829,5734783.29,15131.354327176781,379.0,0.9102902374670184,0.002638522427440633,0.0,,,0.0,0.0,0.0,0.0,17848000.0,16.697402015094504
KOR,"Korea, South",64.0,70.83,,,0.0,0.0,0.0,,,15.0,0.6666666666666666,0.8,8.0,754.4875,6035.9,1.0,51667000.0,17.760329837807504
KSV,Kosovo,44.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,
KWT,Kuwait,46.0,38.84,96.0,,0.0,0.0,0.0,,,0.0,,,5.0,400.68,2003.4,0.0,5026080.0,15.430150914189397
LAO,Laos,33.0,36.66,88.0,,4043220.35,15491.265708812261,261.0,0.6475095785440613,0.038314176245210725,0.0,,,2.0,1000.0,2000.0,0.0,7873050.0,15.878956092965693
LBN,Lebanon,22.0,50.46,95.0,56.77301494796658,0.0,0.0,0.0,,,0.0,,,3.0,655.6333333333333,1966.9,0.0,5849420.0,15.581853068993674
LBR,Liberia,27.0,64.34,48.0,53.1314961641782,5129921.75,70272.9006849315,73.0,0.8493150684931506,0.0821917808219178,0.0,,,0.0,0.0,0.0,0.0,5731210.0,15.561437235682295
LBY,Libya,13.0,40.22,91.0,,40000.0,40000.0,1.0,1.0,0.0,0.0,,,18.0,203.40555555555557,3661.3,0.0,7458560.0,15.824872924056736
LCA,Saint Lucia,59.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,180149.0,12.101539565231052
LIE,,,84.47,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,40128.0,10.599829623992592
LKA,Sri Lanka,32.0,45.85,,56.319800613648994,107552.46,3983.424444444445,27.0,0.5185185185185185,0.0,1.0,0.0,1.0,3.0,29.566666666666666,88.7,1.0,23229500.0,16.96093358062343
LSO,Lesotho,37.0,64.29,82.0,,2156.0,539.0,4.0,0.0,0.75,0.0,,,0.0,0.0,0.0,2.0,2363320.0,14.675577968075343
LTU,Lithuania,63.0,86.79,100.0,,66462.0,4430.8,15.0,0.6,0.0,0.0,,,4.0,178.4,713.6,0.0,2830140.0,14.855836738360486
LUX,Luxembourg,81.0,81.98,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,680453.0,13.430514031825831
LVA,Latvia,59.0,83.27,100.0,,0.0,0.0,0.0,,,0.0,,,7.0,32.95714285714286,230.70000000000002,0.0,1853560.0,14.432618672238629
MAR,Morocco,37.0,43.69,77.0,56.841624182960345,721293.0,42429.0,17.0,0.8235294117647058,0.0,0.0,,,6.0,165.73333333333332,994.4,0.0,38430800.0,17.464369779394353
MDA,Moldova,43.0,77.62,100.0,43.43202250137341,242088.84,13449.38,18.0,1.0,0.0,0.0,,,10.0,120.05999999999999,1200.6,1.0,2996110.0,14.912825338566073
MDG,Madagascar,26.0,56.66,77.0,45.26503868134747,7993096.0,111015.22222222222,72.0,0.5694444444444444,0.09722222222222222,0.0,,,1.0,27.4,27.4,0.0,32740700.0,17.304129510252924
MDV,Maldives,38.0,56.93,98.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,529676.0,13.180020777840866
MEX,Mexico,26.0,47.98,95.0,55.13359045460346,647010.4,8986.255555555555,72.0,0.20833333333333334,0.3611111111111111,9.0,0.8888888888888888,0.0,40.0,474.62250000000006,18984.9,11.0,131947000.0,18.697910884770337
MKD,North Macedonia,40.0,74.35,98.0,51.86011906911041,48979.0,3767.6153846153848,13.0,0.6923076923076923,0.0,0.0,,,7.0,208.34285714285716,1458.4,5.0,1813790.0,14.410929136693383
MLI,Mali,27.0,52.29,31.0,,1106665.0,25151.477272727272,44.0,0.6590909090909091,0.18181818181818182,0.0,,,0.0,0.0,0.0,0.0,25198800.0,17.04230693230021
MLT,Malta,46.0,59.76,95.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,545405.0,13.209283916935028
MMR,Myanmar,16.0,28.26,89.0,,1983479.68,19071.92,104.0,0.5576923076923077,0.08653846153846154,0.0,,,1.0,6.3,6.3,0.0,54850600.0,17.820123683550023
MNE,Montenegro,46.0,74.28,99.0,,0.0,0.0,0.0,,,0.0,,,5.0,466.2,2331.0,2.0,632729.0,13.357797489393564
MNG,Mongolia,33.0,59.33,99.0,50.103514724760025,1058417.31,19243.951090909093,55.0,0.16363636363636364,0.8363636363636363,0.0,,,3.0,501.0,1503.0,5.0,3517100.0,15.073147344375755
MOZ,Mozambique,25.0,56.13,63.0,,4790219.12,27689.127861271678,173.0,0.7861271676300579,0.09248554913294797,0.0,,,3.0,73.23333333333333,219.7,1.0,35631700.0,17.38874624904555
MRT,Mauritania,30.0,59.45,67.0,,132701.0,11058.416666666666,12.0,0.75,0.16666666666666666,0.0,,,0.0,0.0,0.0,0.0,5315060.0,15.486054858499735
MUS,Mauritius,51.0,65.56,92.0,,12500.0,2500.0,5.0,1.0,0.0,0.0,,,3.0,346.6666666666667,1040.0,0.0,1268280.0,14.053172209791393
MWI,Malawi,34.0,60.34,68.0,48.52633578116219,329427.0,10294.59375,32.0,0.8125,0.15625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22216100.0,16.916327809218995
MYS,Malaysia,50.0,62.83,95.0,56.75680396533623,15792898.3,100591.70891719745,157.0,0.8089171974522293,0.0,0.0,,,2.0,2.65,5.3,0.0,35977800.0,17.398412639536623
NAM,Namibia,49.0,80.91,92.0,,118458.0,5922.9,20.0,0.85,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3092820.0,14.944593854047472
NER,Niger,34.0,66.84,38.0,,573502.0,31861.222222222223,18.0,0.8333333333333334,0.1111111111111111,0.0,,,0.0,0.0,0.0,0.0,27917800.0,17.14477503619223
NGA,Nigeria,26.0,49.56,62.0,45.08428464901839,5248762.0,33862.98064516129,155.0,0.9548387096774194,0.0,0.0,,,2.0,1439.0,2878.0,4.0,237528000.0,19.285796069226773
NIC,Nicaragua,14.0,37.09,83.0,30.925128364997427,5640162.59,49912.943274336285,113.0,0.504424778761062,0.2743362831858407,0.0,,,2.0,394.0,788.0,2.0,7007500.0,15.76249156202108
NLD,Netherlands,78.0,87.0,,85.75948328477185,0.0,0.0,0.0,,,7.0,0.5714285714285714,0.7142857142857143,2.0,914.45,1828.9,0.0,18346800.0,16.724965730336706
NOR,Norway,81.0,95.18,,89.81010532677112,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,533.9,533.9,3.0,5623070.0,15.542388336067562
NPL,Nepal,34.0,57.89,71.0,50.71240008264969,68123.04,933.1923287671232,73.0,0.6301369863013698,0.0,0.0,,,1.0,348.0,348.0,0.0,29618100.0,17.203896218899093
NZL,New Zealand,83.0,84.23,,86.7049475534139,0.0,0.0,0.0,,,27.0,0.7777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0,5251900.0,15.474100473857979
OMN,Oman,55.0,37.87,97.0,,0.0,0.0,0.0,,,0.0,,,2.0,371.4,742.8,1.0,5494690.0,15.51929272930582
PAK,Pakistan,27.0,39.95,57.99999999999999,46.0622661990643,2321652.36,68283.89294117647,34.0,0.38235294117647056,0.08823529411764706,1.0,1.0,0.0,9.0,1466.8111111111111,13201.3,1.0,255220000.0,19.357636476270105
