Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/matter-of-flood-hazard-area-verification-flood-hazard-area-individual-permit-1113-22-0002-1-lup220002_a4a2,2022,Permit and verification vacated and remanded.,Actions seeking adaptation measures;Adaptation;Environmentalist Lawsuits;State Law Claims,USA;US-NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/matter-of-petition-of-new-jersey-natural-gas-co-for-a-determination-concerning-the-holmdel-regulator-station-pursuant-to-n-j-s-a-40-55d-19-2017-petition_153c,2023,Board of Public Utilities decision affirmed.,State Law Claims;Utility Regulation,USA;US-NJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/maules-creek-community-council-inc-v-environment-protection-authority_0470,2023,Dismissed,Natural resource extraction;Suits against governments;Environmental assessment and permitting,AU-NSW,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3
https://www.climatecasechart.com/document/maules-creek-community-council-inc-v-environment-protection-authority_bed9,2023,Decided,Environmental assessment and permitting;Natural resource extraction;Suits against governments,AU-NSW;AUS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/mayor-city-council-of-ocean-city-v-u-s-department-of-the-interior_03fb,2024,Motion for preliminary injunction filed by defendant-intervenor and cross-plaintiff US Wind Inc.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-MD,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,11
https://www.climatecasechart.com/document/mayur-renewables-v-mirisim-2024-pgnc-7_fe70,2022,Decided,Environmental assessment and permitting;Renewable projects;Suits against governments,PNG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/mccormick-v-hrm-resources-llc_3ee5,2024,Motion for class certification granted.,Environmentalist Lawsuits;State Law Claims,USA;US-CO,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,6
https://www.climatecasechart.com/document/mcevoy-v-diversified-energy-co_956b,2022,"Court stays case pending final approval at the hearing scheduled for April 11, 2025.",Common Law Claims,USA;US-WV,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/meeting-house-way-llc-v-marthas-vineyard-commission_d74a,2020,Martha's Vineyard Commission's decision affirmed.,Other Types of State Law Cases;State Law Claims,USA;US-MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/members-of-indigenous-community-gran-cumbal-v-svp-business-sas-global-consulting-and-assessment-services-sa-deutsche-certification-body-sas-colcx-and-the-indigenous-authority-of-gran-cumbal_d7ec,2023,Decided,"Carbon credits;Climate damage;Corporations;Suits against corporations, individuals",COL,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,6
https://www.climatecasechart.com/document/memphis-community-against-pollution-inc-v-u-s-army-corps-of-engineers_2895,2021,Notice of voluntary dismissal filed by plaintiffs.,Clean Water Act;Federal Statutory Claims;NEPA,USA;US-TN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
https://www.climatecasechart.com/document/merrell-v-florida-crystals-corp_9429,2025,Complaint filed.,Other Types of State Law Cases;State Law Claims,USA;US-CA,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,6
https://www.climatecasechart.com/document/metro-v-exxon-mobil-corp_2486,2023,Petition to perpetuate testimony under ORCP 37 filed.,Actions seeking money damages for losses;Adaptation;Common Law Claims,USA;US-OR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
https://www.climatecasechart.com/document/metro-v-exxon-mobil-corp_d833,2023,Motion to remand granted.,Actions seeking money damages for losses;Adaptation;Common Law Claims,USA;US-OR,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
