respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Mexico,Spain,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",Claims arising out of Mexico's alleged non-renewal of a licence necessary to operate a landfill of hazardous industrial waste.,52.00 USD,2000,52.0,MEX,ESP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Russian Federation,United Kingdom,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the default on sovereign bonds during the Russian financial crisis.,Data not available,2000,,RUS,GBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Canada,United States of America,H - Transportation and storage,53 - Postal and courier activities,Claims arising out of allegedly anti-competitive practices of Canada and Canada Post Corporation in the non-monopoly postal services market.,160.00 USD,2000,160.0,CAN,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",Claims arising out of the alleged breach of a 15-year concession granted by the State of Guerrero and the municipality of Acapulco to the claimant for public waste management services.,36.60 USD,2000,36.6,MEX,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Myanmar,Singapore,C - Manufacturing,11 - Manufacture of beverages,Claims arising out of the alleged seizure of the investor's property by armed agents of the Government and the freezing of certain bank accounts of the investor.,6.30 USD,2000,6.3,MMR,SGP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,Switzerland,C - Manufacturing,10 - Manufacture of food products,"Claims arising out of the government takeover of claimant's groundnut processing plant at Denton Bridge, which constituted the biggest industrial complex in the country, on allegations of money laundering.",,1999,,GMB,CHE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Chile,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Data not available,Data not available,1999,,ARG,CHL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","Claims arising out of Mexico's application of certain tax laws to the export of tobacco products which allegedly denied claimant's local company, an exporter of cigarettes from Mexico, the benefits of a law that allowed certain tax refunds to exporters.",303.80 MXN (30.30 USD),1999,30.3,MEX,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Estonia,United States of America,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the cancellation by the Central Bank of Estonia of an operating license held by a financial institution incorporated in Estonia in which the claimants were shareholders.,1.60 USD,1999,1.6,EST,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Malaysia,Belgium,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of alleged losses in the value of claimant's investment arising from Malaysia's violation of the terms of an Intergovernmental Agreement concluded with the Belgo-Luxembourg Economic Union; particularly, that the imposition by the State of exchange controls allegedly constituted a breach of its obligations under said agreement.",2.30 USD,1999,2.3,MYS,BEL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Czechia,United States of America,J - Information and communication,60 - Programming and broadcasting activities,Claims arising out of the conduct of the Czech Media Council towards the broadcasting enterprise partly owned by the foreign investor.,Data not available,1999,,CZE,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Moldova, Republic of",United States of America,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"47 - Retail trade, except of motor vehicles and motorcycles",Claims arising out of changes in the rates of duties and VAT exemptions introduced by the 1998 Moldovan Law on the Budget which allegedly destroyed the economic viability of claimant's business.,3.50 USD,1999,3.5,MDA,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States of America,Canada,C - Manufacturing,20 - Manufacture of chemicals and chemical products,"Claims arising out of alleged injuries resulting from a California ban on the use or sale in California of the gasoline additive MTBE. Methanol, central to the investor's activities, is an ingredient used to manufacture MTBE.",970.00 USD,1999,970.0,USA,CAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Greece,H - Transportation and storage,52 - Warehousing and support activities for transportation,Claims arising out of Egypt's alleged expropriation of Middle East Cement's interests in a business concession located in Egypt and Egypt's alleged failure to ensure the re-exportation of Middle East Cement's assets.,42.20 USD,1999,42.2,EGY,GRC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",United States of America,"M - Professional, scientific and technical activities",69 - Legal and accounting activities,"Claims arising out of the seizure by Congolese military forces of the premises of Mr. Mitchell's legal consulting firm, in which documents qualified as compromising and other items were seized and the employees of the firm were forced to leave the premises.",Data not available,1999,,COD,USA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Argentina,United States of America,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,Claims arising out of a petroleum exploration and production venture.,Data not available,1999,,ARG,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,Canada,L - Real estate activities,68 - Real estate activities,Claims arising out of alleged losses suffered by an enterprise owned and controlled by the claimant resulting from a decision by the Supreme Judicial Court of Massachusetts and from Massachusetts state law.,50.00 USD,1999,50.0,USA,CAN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,United States of America,"A - Agriculture, forestry and fishing",2 - Forestry and logging,"Claims arising out of Canada's implementation of the U.S.-Canada Softwood Lumber Agreement, in which Canada agreed to charge a fee on exports of softwood lumber in excess of a certain number of board feet.",507.50 USD,1999,507.5,CAN,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Sweden,N - Administrative and support service activities,77 - Rental and leasing activities,Claims arising out of the loss of a vessel owned by the claimant which was moored in the Port of Riga with the permission of the relevant Latvian authorities and in accordance with a land lease agreement with the Kurzeme district of Riga.,2.80 USD,1999,2.8,LVA,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Uruguay,France,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the Central Bank’s intervention in the management of Banco Pan de Azúcar (BPA).,103.80 USD,1998,103.8,URY,FRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peru,France,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of disagreements over a gold exploitation project for the construction and operation of a gold mine in the highlands of northern Peru.,Data not available,1998,,PER,FRA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
